act,floor,map_point_type,room_model_ids,room_types,monster_ids,hp,max_hp,gold,damage_taken,hp_healed,gold_gained,gold_lost,gold_spent,cards_gained,cards_removed,cards_transformed,upgraded_cards,relics_picked,potions_picked,event_choices,ancient_chosen,rest_site_choices,turns_taken
2,1,ancient,EVENT.TEZCATARA,event,,64,75,84,0,44,0,0,0,,,,,RELIC.VERY_HOT_COCOA,,VERY_HOT_COCOA.title,<generator object extract.<locals>.<genexpr> at 0x000002366D178110>,,0
2,2,monster,ENCOUNTER.TUNNELER_WEAK,monster,MONSTER.TUNNELER,64,75,91,0,0,7,0,0,,,,,,,,<generator object extract.<locals>.<genexpr> at 0x000002366D178380>,,4
2,3,monster,ENCOUNTER.BOWLBUGS_WEAK,monster,MONSTER.BOWLBUG_ROCK|MONSTER.BOWLBUG_EGG,59,75,106,5,0,15,0,0,CARD.POUNCE,,,,,POTION.WEAK_POTION,,<generator object extract.<locals>.<genexpr> at 0x000002366D1785F0>,,4
2,4,monster,ENCOUNTER.LOUSE_PROGENITOR_NORMAL,monster,MONSTER.LOUSE_PROGENITOR,49,75,115,10,0,9,0,0,CARD.CALCULATED_GAMBLE,,,,,,,<generator object extract.<locals>.<genexpr> at 0x000002366D178860>,,6
2,5,shop,,shop,,49,75,77,0,0,0,0,38,CARD.FOOTWORK,,,,,,,<generator object extract.<locals>.<genexpr> at 0x000002366D178AD0>,,0
2,6,unknown,EVENT.THE_LANTERN_KEY,event,,49,75,177,0,0,100,0,0,,,,,,,THE_LANTERN_KEY.pages.INITIAL.options.RETURN_THE_KEY.title,<generator object extract.<locals>.<genexpr> at 0x000002366D178D40>,,0
2,7,rest_site,,rest_site,,49,75,177,0,0,0,0,0,,,,CARD.FOOTWORK,,,,<generator object extract.<locals>.<genexpr> at 0x000002366D178FB0>,SMITH,0
2,8,elite,ENCOUNTER.INFESTED_PRISMS_ELITE,elite,MONSTER.INFESTED_PRISM,30,75,209,19,0,32,0,0,CARD.ACCURACY,,,,RELIC.STRIKE_DUMMY,POTION.FLEX_POTION,,<generator object extract.<locals>.<genexpr> at 0x000002366D179220>,,7
2,9,treasure,,treasure,,30,75,242,0,0,33,0,0,,,,,RELIC.BOWLER_HAT,,,<generator object extract.<locals>.<genexpr> at 0x000002366D179490>,,0
2,10,rest_site,,rest_site,,30,75,242,0,0,0,0,0,,,,CARD.ACCELERANT,,,,<generator object extract.<locals>.<genexpr> at 0x000002366D179700>,SMITH,0
2,11,monster,ENCOUNTER.SLUMBERING_BEETLE_NORMAL,monster,MONSTER.BOWLBUG_ROCK|MONSTER.BOWLBUG_SILK|MONSTER.SLUMBERING_BEETLE,30,75,259,0,0,17,0,0,CARD.SUCKER_PUNCH,,,,,,,<generator object extract.<locals>.<genexpr> at 0x000002366D179970>,,6
2,12,rest_site,,rest_site,,30,75,259,0,0,0,0,0,,,,CARD.PHANTOM_BLADES,,,,<generator object extract.<locals>.<genexpr> at 0x000002366D179BE0>,SMITH,0
2,13,monster,ENCOUNTER.EXOSKELETONS_NORMAL,monster,MONSTER.EXOSKELETON|MONSTER.EXOSKELETON|MONSTER.EXOSKELETON|MONSTER.EXOSKELETON,30,75,275,0,0,16,0,0,,,,,,POTION.TOUCH_OF_INSANITY,,<generator object extract.<locals>.<genexpr> at 0x000002366D179E50>,,3
2,14,elite,ENCOUNTER.DECIMILLIPEDE_ELITE,elite,MONSTER.DECIMILLIPEDE_SEGMENT_FRONT|MONSTER.DECIMILLIPEDE_SEGMENT_MIDDLE|MONSTER.DECIMILLIPEDE_SEGMENT_BACK,29,75,307,1,0,32,0,0,,,,,RELIC.VAJRA,POTION.EXPLOSIVE_AMPOULE,,<generator object extract.<locals>.<genexpr> at 0x000002366D17A0C0>,,4
2,15,rest_site,,rest_site,,51,75,307,0,22,0,0,0,,,,,,,,<generator object extract.<locals>.<genexpr> at 0x000002366D17A330>,HEAL,0
2,16,boss,ENCOUNTER.KNOWLEDGE_DEMON_BOSS,boss,MONSTER.KNOWLEDGE_DEMON,28,75,400,23,0,93,0,0,CARD.OUTBREAK,,,,,POTION.CURE_ALL,,<generator object extract.<locals>.<genexpr> at 0x000002366D17A5A0>,,11
3,1,ancient,EVENT.VAKUU,event,,65,75,400,0,37,0,0,0,,,,,RELIC.CHOICES_PARADOX,,CHOICES_PARADOX.title,<generator object extract.<locals>.<genexpr> at 0x000002366D17A810>,,0
3,2,monster,ENCOUNTER.SCROLLS_OF_BITING_WEAK,monster,MONSTER.SCROLL_OF_BITING|MONSTER.SCROLL_OF_BITING|MONSTER.SCROLL_OF_BITING,65,75,411,0,0,11,0,0,,,,,,POTION.TOUCH_OF_INSANITY,,<generator object extract.<locals>.<genexpr> at 0x000002366D17AA80>,,1
3,3,unknown,EVENT.FAKE_MERCHANT,event,,68,78,317,0,3,0,0,94,,,,,RELIC.FAKE_HAPPY_FLOWER|RELIC.FAKE_MANGO,,,<generator object extract.<locals>.<genexpr> at 0x000002366D17ACF0>,,0
3,4,monster,ENCOUNTER.DEVOTED_SCULPTOR_WEAK,monster,MONSTER.DEVOTED_SCULPTOR,68,78,330,0,0,13,0,0,,,,,,,,<generator object extract.<locals>.<genexpr> at 0x000002366D17AF60>,,4
3,5,unknown,EVENT.ROUND_TEA_PARTY,event,,57,78,330,11,0,0,0,0,,,,,RELIC.NUNCHAKU,,ROUND_TEA_PARTY.pages.INITIAL.options.PICK_FIGHT.title,<generator object extract.<locals>.<genexpr> at 0x000002366D17B1D0>,,0
3,6,shop,,shop,,57,78,20,0,0,0,0,310,,CARD.STRIKE_SILENT,,,RELIC.BURNING_STICKS,,,<generator object extract.<locals>.<genexpr> at 0x000002366D17B440>,,0
3,7,rest_site,,rest_site,,57,78,20,0,0,0,0,0,,,,CARD.OUTBREAK,,,,<generator object extract.<locals>.<genexpr> at 0x000002366D17B6B0>,SMITH,0
3,8,treasure,,treasure,,57,78,63,0,0,43,0,0,,,,,RELIC.STONE_CRACKER,,,<generator object extract.<locals>.<genexpr> at 0x000002366D17B920>,,0
3,9,monster,ENCOUNTER.THE_LOST_AND_FORGOTTEN_NORMAL,monster,MONSTER.THE_LOST|MONSTER.THE_FORGOTTEN,57,78,80,0,0,17,0,0,,,,,,,,<generator object extract.<locals>.<genexpr> at 0x000002366D17BB90>,,3
3,10,rest_site,,rest_site,,57,78,80,0,0,0,0,0,,,,CARD.NEUTRALIZE,,,,<generator object extract.<locals>.<genexpr> at 0x000002366D17BE00>,SMITH,0
3,11,monster,ENCOUNTER.SCROLLS_OF_BITING_NORMAL,monster,MONSTER.SCROLL_OF_BITING|MONSTER.SCROLL_OF_BITING|MONSTER.SCROLL_OF_BITING|MONSTER.SCROLL_OF_BITING,57,78,96,0,0,16,0,0,CARD.ECHOING_SLASH,,,,,,,<generator object extract.<locals>.<genexpr> at 0x000002366D18C110>,,3
3,12,elite,ENCOUNTER.KNIGHTS_ELITE,elite,MONSTER.FLAIL_KNIGHT|MONSTER.SPECTRAL_KNIGHT|MONSTER.MAGI_KNIGHT,57,78,131,0,0,35,0,0,CARD.CALCULATED_GAMBLE,,,,RELIC.PRAYER_WHEEL,,,<generator object extract.<locals>.<genexpr> at 0x000002366D18C380>,,4
3,13,unknown,EVENT.THE_FUTURE_OF_POTIONS,event,,57,78,131,0,0,0,0,0,CARD.BUBBLE_BUBBLE,,,,,,THE_FUTURE_OF_POTIONS.pages.INITIAL.options.POTION.title,<generator object extract.<locals>.<genexpr> at 0x000002366D18C5F0>,,0
3,14,rest_site,,rest_site,,78,78,131,0,21,0,0,0,,,,,,,,<generator object extract.<locals>.<genexpr> at 0x000002366D18C860>,HEAL,0
3,15,boss,ENCOUNTER.QUEEN_BOSS,boss,MONSTER.TORCH_HEAD_AMALGAM|MONSTER.QUEEN,57,78,131,21,0,0,0,0,,,,,,,,<generator object extract.<locals>.<genexpr> at 0x000002366D18CAD0>,,10
3,16,boss,ENCOUNTER.AEONGLASS_BOSS,boss,MONSTER.AEONGLASS,34,78,131,23,0,0,0,0,,,,,,,,<generator object extract.<locals>.<genexpr> at 0x000002366D18CD40>,,8
